Indice;Film;Oscar Year;Film Studio/Producer(s);Award;Year of Release;Movie Time;Movie Genre;Tomatometer Status;Tomatometer Rating;Tomatometer Count;Audience Status;Audience Rating;Audience Count
0;Wings;1927/28;Famous Players-Lasky;Winner;1927;144;Drama,Romance,War;Certified-Fresh;93.0;46.0;Upright;78.0;3530.0
1;7th Heaven;1927/28;Fox;Nominee;1927;110;Drama,Romance;;;;;;
2;The Racket;1927/28;The Caddo Company;Nominee;1928;84;Crime,Drama,Film-Noir;;;;;;
3;The Broadway Melody;1928/29;Metro-Goldwyn-Mayer;Winner;1929;100;Drama,Musical,Romance;Rotten;33.0;24.0;Spilled;21.0;1813.0
4;Alibi;1928/29;Feature Productions;Nominee;1929;91;Action,Crime,Romance;;;;;;
5;Hollywood Revue;1928/29;Metro-Goldwyn-Mayer;Nominee;1929;130;Comedy,Music;;;;;;
6;In Old Arizona;1928/29;Fox;Nominee;1928;95;Western;Rotten;56.0;9.0;Spilled;38.0;356.0
7;The Patriot;1928/29;Paramount Famous Lasky;Nominee;1928;113;Drama,History,Thriller;;;;;;
8;All Quiet on the Western Front;1929/30;Universal;Winner;1930;152;Drama,War;;;;;;
9;The Big House;1929/30;Cosmopolitan;Nominee;1930;87;Crime,Drama,Thriller;Fresh;75.0;8.0;Upright;69.0;323.0
10;Disraeli;1929/30;Warner Bros.;Nominee;1929;90;Biography,Drama,History;;;;;;
11;The Divorcee;1929/30;Metro-Goldwyn-Mayer;Nominee;1930;84;Romance,Drama;;;;;;
12;The Love Parade;1929/30;Paramount Famous Lasky;Nominee;1929;107;Comedy,Musical,Romance;;;;;;
13;Cimarron;1930/31;RKO Radio;Winner;1931;123;Drama,Western;Rotten;50.0;24.0;Spilled;25.0;1514.0
14;East Lynne;1930/31;Fox;Nominee;1931;102;Drama,Romance;;;;;;
15;The Front Page;1930/31;The Caddo Company;Nominee;1931;101;Comedy,Crime,Drama;;;;;;
16;Skippy;1930/31;Paramount Publix;Nominee;1931;85;Comedy,Drama,Family;;;;;;
17;Trader Horn;1930/31;Metro-Goldwyn-Mayer;Nominee;1931;122;Action,Adventure,Drama;;;;;;
